date,workout_duration,workout_avg_heart_rate,workout_calories_burnt,preworkout,hydration
02/05/24,40,105,276,1 Sandwich,500
03/05/24,30,103,220,1 Sandwich,500
04/05/24,35,110,210,1 Apple,500
05/05/24,40,115,240,1 Sandwich,500
08/05/24,40,122,235,1 Banana,750
09/05/24,45,118,267,1 Sandwich,750
10/05/24,32,107,207,1 Banana,500
14/05/24,50,115,221,1 Banana,750
15/05/24,40,125,298,2 Banana,750
25/05/24,45,140,316,2 Apple,1000
26/05/24,36,119,288,2 Banana,1000
28/05/24,45,122,235,1 Banana,750
29/05/24,37,128,302,1 Apple,750
30/05/24,43,133,300,1 Banana,1000
03/06/24,40,137,320,2 Apple,1000
04/06/24,35,110,303,1 Banana,750
05/06/24,40,123,308,2 Apple,1000
06/06/24,37,133,311,Coffee,750
12/06/24,34,118,299,1 Sandwich,500
13/06/24,50,140,332,1 Sandwich,1000
14/06/24,32,131,282,1 Banana,1000
25/06/24,35,140,323,1 Banana,750
26/06/24,40,134,321,1 Sandwich,750
27/06/24,43,138,331,1 Banana,750
04/07/24,40,140,298,1 Sandwich,1000
05/07/24,40,135,333,1 Apple,1000
06/07/24,33,118,311,1 Banana,1200
07/07/24,42,148,345,1 Apple & Coffee,1000
08/07/24,40,130,353,2 Apple,1000
15/07/24,39,135,326,1 Banana & Coffee,1200
16/07/24,42,154,327,1 Sandwich & Coffee,750
17/07/24,51,138,360,1 Banana,1000
18/07/24,48,130,367,2 Apple & Coffee,1000
19/07/24,38,148,344,1 Banana,1100
22/07/24,50,135,368,1 Sandwich & Coffee,750
26/07/24,44,170,388,1 Sandwich,1000
27/07/24,30,160,398,1 Apple,1000
01/08/24,40,128,378,Coffee,1500
02/08/24,32,118,361,1 Banana,1100
03/08/24,40,150,348,1 Coffee,1000
16/08/24,42,175,392,1 Sandwich & Coffee,750
17/08/24,58,160,401,2 Banana & Coffee,1500
20/08/24,30,110,298,1 Apple,750
21/08/24,40,138,393,Coffee,1100
22/08/24,55,130,409,2 Banana,1500
25/08/24,39,118,362,1 Apple & Coffee,1100
31/08/24,35,109,302,1 Banana,1000
03/09/24,50,168,410,1 Banana & Coffee,1000
04/09/24,51,148,423,1 Banana,1000
05/09/24,41,148,403,1 Banana & Coffee,1100
06/09/24,52,175,412,1 Sandwich & Coffee,750
07/09/24,45,130,409,2 Banana,1200
08/09/24,32,123,300,1 Apple,1000
18/09/24,42,155,426,1 Sandwich,1000
19/09/24,30,118,422,2 Banana,1500
20/09/24,36,123,409,2 Apple,1000
28/09/24,56,158,432,2 Banana & Coffee,1500
29/09/24,55,150,442,2 Banana,1500
01/10/24,45,128,454,1 Banana,1000
08/10/24,35,128,415,2 Apple,1500
21/10/24,46,118,402,2 Banana & Coffee,1500
22/10/24,55,130,450,2 Apple,1200
23/10/24,45,148,422,3 Banana,1500
24/10/24,30,121,429,2 Apple,1000
04/11/24,32,125,411,1 Sandwich,1000
05/11/24,35,128,454,1 Sandwich,1000
06/11/24,36,123,409,2 Apple,1000
07/11/24,41,148,423,1 Banana & Coffee,1100
08/11/24,62,125,488,3 Banana,1500
09/11/24,40,125,455,1 Sandwich,1100
28/11/24,32,122,433,2 Banana,1500
29/11/24,38,138,443,2 Banana,1200
08/12/24,35,127,422,3 Banana,1500
09/12/24,62,125,501,3 Banana,1500
10/12/24,35,102,433,2 Banana,1200
11/12/24,45,125,499,1 Banana,1000
21/12/24,31,118,412,2 Banana,1200
22/12/24,57,155,490,2 Banana,1000
23/12/24,32,129,443,1 Banana,1500
03/01/25,45,148,422,3 Banana,1500
04/01/25,42,165,456,2 Banana,750
05/01/25,32,135,452,1 Apple,1100
06/01/25,41,125,471,1 Sandwich & Coffee,1200
15/01/25,62,125,488,3 Banana,1500
16/01/25,36,129,441,3 Banana & Coffee,1500
17/01/25,32,125,411,1 Sandwich,1000
18/01/25,37,122,433,2 Banana,1500
06/02/25,45,148,497,Coffee,1500
07/02/25,57,115,486,3 Banana,1200
08/02/25,32,122,433,2 Apple,1500
10/02/25,64,125,499,2 Banana,1500
11/02/25,72,175,505,1 Banana,1500
12/02/25,37,144,428,2 Banana,1500
17/02/25,28,125,320,1 Sandwich,1000
18/02/25,48,118,433,1 Banana,1500
19/02/25,49,128,494,1 Sandwich,1200
25/02/25,29,123,409,2 Apple,1000
26/02/25,32,162,333,2 Banana,750
03/03/25,32,106,419,NA,750
04/03/25,32,112,416,2 Apple,1000
05/03/25,40,128,454,1 Banana,1000
08/03/25,32,122,433,2 Banana,1500
11/03/25,32,128,464,3 Banana,1500
12/03/25,65,113,487,3 Banana,1100
13/03/25,43,123,449,2 Banana & Coffee,1500
15/03/25,32,125,411,1 Sandwich,1000
26/03/25,55,128,422,3 Banana & Coffee,1200
31/03/25,48,122,483,2 Banana,1100
03/04/25,55,131,492,3 Banana,1000
04/04/25,33,125,434,1 Sandwich,1000
